defined_class	defined_class_name	attribute1	attribute1_name	attribute2	attribute2_name	exact_synonyms	broad_synonyms	narrow_synonyms	related_synonyms	xrefs	orcids
OBA:2053069	HPCAL1/PLA2G4A protein amount ratio in blood	OBA:2052012		OBA:2052269		HPCAL1/PLA2G4A protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053070	HPCAL1/PMVK protein amount ratio in blood	OBA:2052012		OBA:2052130		HPCAL1/PMVK protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053071	HPCAL1/PTPN6 protein amount ratio in blood	OBA:2052012		OBA:2052070		HPCAL1/PTPN6 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053072	HPCAL1/S100A4 protein amount ratio in blood	OBA:2052012		OBA:2052095		HPCAL1/S100A4 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053073	HPCAL1/SERPINB9 protein amount ratio in blood	OBA:2052012		OBA:2052750		HPCAL1/SERPINB9 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053074	HPGDS/ITGAV protein amount ratio in blood	OBA:2052013		OBA:2052619		HPGDS/ITGAV protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053075	HS6ST1/MEGF9 protein amount ratio in blood	OBA:2052014		OBA:2052209		HS6ST1/MEGF9 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053076	HSD11B1/SMPD1 protein amount ratio in blood	OBA:2052015		OBA:2052675		HSD11B1/SMPD1 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053077	HSPA1A/MGLL protein amount ratio in blood	OBA:2052016		OBA:2052370		HSPA1A/MGLL protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053078	HSPA1A/MITD1 protein amount ratio in blood	OBA:2052016		OBA:2052392		HSPA1A/MITD1 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053079	HSPA1A/STIP1 protein amount ratio in blood	OBA:2052016		OBA:2052023		HSPA1A/STIP1 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053080	HSPA1A/WWP2 protein amount ratio in blood	OBA:2052016		OBA:2052726		HSPA1A/WWP2 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053081	HSPB1/KYAT1 protein amount ratio in blood	OBA:2052017		OBA:2052645		HSPB1/KYAT1 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053082	HSPB1/PLIN3 protein amount ratio in blood	OBA:2052017		OBA:2052140		HSPB1/PLIN3 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053083	HSPB1/QDPR protein amount ratio in blood	OBA:2052017		OBA:2052075		HSPB1/QDPR protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053084	HSPB6/SNCG protein amount ratio in blood	OBA:2052018		OBA:2052751		HSPB6/SNCG protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053085	HAVCR2/LRRC25 protein amount ratio in blood	OBA:2052019		OBA:2052752		HAVCR2/LRRC25 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053086	HAVCR2/PILRA protein amount ratio in blood	OBA:2052019		OBA:2052264		HAVCR2/PILRA protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053087	HAVCR2/PILRB protein amount ratio in blood	OBA:2052019		OBA:2052265		HAVCR2/PILRB protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053088	HAVCR2/TNFRSF1B protein amount ratio in blood	OBA:2052019		OBA:2052724		HAVCR2/TNFRSF1B protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053089	HAVCR2/TREM2 protein amount ratio in blood	OBA:2052019		OBA:2052753		HAVCR2/TREM2 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053090	HBEGF/LAT2 protein amount ratio in blood	OBA:2051985		OBA:2052481		HBEGF/LAT2 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053091	SSC4D/TNFSF10 protein amount ratio in blood	OBA:2052020		OBA:2052754		SSC4D/TNFSF10 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053092	STAMBP/WWP2 protein amount ratio in blood	OBA:2052021		OBA:2052726		STAMBP/WWP2 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
OBA:2053093	STAT5B/WASF1 protein amount ratio in blood	OBA:2052022		OBA:2052727		STAT5B/WASF1 protein level ratio in blood				PMID:38412862	https://orcid.org/0000-0001-6757-4744		
