iri	entity	attribute
OBA_VT0000800	UBERON_0001384	PATO_0000051
OBA_VT0000801	UBERON_0001871	PATO_0000051
OBA_VT0000802	UBERON_0002769	PATO_0000051
OBA_VT0000803	UBERON_0003939	PATO_0000051
OBA_VT0000804	UBERON_0002021	PATO_0000051
OBA_VT0000805	UBERON_0002436	PATO_0000051
OBA_VT0000807	UBERON_0002421	PATO_0000051
OBA_VT0000812	UBERON_0001885	PATO_0000051
OBA_VT0000813	UBERON_0002305	PATO_0000051
OBA_VT0000815	UBERON_0001954	PATO_0000051
OBA_VT0000818	UBERON_0001876	PATO_0000051
OBA_VT0000819	UBERON_0002264	PATO_0000051
OBA_VT0000820	UBERON_0001886	PATO_0000051
OBA_VT0000822	UBERON_0004086	PATO_0000051
OBA_VT0000823	UBERON_0002285	PATO_0000051
OBA_VT0000825	UBERON_0002285	PATO_0000117
OBA_VT0000826	UBERON_0002286	PATO_0000051
OBA_VT0000827	UBERON_0002286	PATO_0000117
OBA_VT0000828	UBERON_0002422	PATO_0000051
OBA_VT0000829	UBERON_0002422	PATO_0000117
OBA_VT0000830	UBERON_0001894	PATO_0000051
OBA_VT0000832	UBERON_0001897	PATO_0000051
OBA_VT0000834	UBERON_0001900	PATO_0000051
OBA_VT0000835	UBERON_0001906	PATO_0000051
OBA_VT0000836	UBERON_0002038	PATO_0000051
OBA_VT0000837	UBERON_0001898	PATO_0000051
OBA_VT0000840	UBERON_0001899	PATO_0000051
OBA_VT0000841	UBERON_0002028	PATO_0000051
OBA_VT0000842	UBERON_0002128	PATO_0000051
OBA_VT0000844	UBERON_0005820	PATO_0000051
OBA_VT0000846	UBERON_0001896	PATO_0000051
OBA_VT0000847	UBERON_0001895	PATO_0000051
OBA_VT0000848	UBERON_0000988	PATO_0000051
OBA_VT0000849	UBERON_0002037	PATO_0000051
OBA_VT0000852	UBERON_0002037	PATO_0000117
OBA_VT0000856	UBERON_0004008	PATO_0000051
OBA_VT0000859	UBERON_0008930	PATO_0000051
OBA_VT0000860	UBERON_0008933	PATO_0000051
OBA_VT0000863	UBERON_0008934	PATO_0000051
OBA_VT0000864	UBERON_0004720	PATO_0000051
OBA_VT0000865	UBERON_0004720	PATO_0000117
OBA_VT0000867	UBERON_0003941	PATO_0000051
OBA_VT0000868	UBERON_0003941	PATO_0000117
OBA_VT0000869	UBERON_0004009	PATO_0000051
OBA_VT0000870	UBERON_0004082	PATO_0000051
OBA_VT0000871	UBERON_0004078	PATO_0000051
OBA_VT0000872	UBERON_0008829	PATO_0000051
OBA_VT0000873	UBERON_0008829	PATO_0000915
OBA_VT0000875	UBERON_0002979	PATO_0000051
OBA_VT0000877	CL_0000121	PATO_0000051
OBA_VT0000878	CL_0000121	PATO_0001555
OBA_VT0000886	UBERON_0002956	PATO_0000051
OBA_VT0000889	UBERON_0002974	PATO_0000051
OBA_VT0000890	UBERON_0002974	PATO_0000915
OBA_VT0000897	UBERON_0001891	PATO_0000051
OBA_VT0000899	UBERON_0002259	PATO_0000051
OBA_VT0000900	UBERON_0002259	PATO_0000117
OBA_VT0000901	UBERON_0002259	PATO_0000140
OBA_VT0000904	UBERON_0001945	PATO_0000051
OBA_VT0000905	UBERON_0001945	PATO_0000117
OBA_VT0000906	UBERON_0001718	PATO_0000051
OBA_VT0000907	UBERON_0001718	PATO_0000117
OBA_VT0000909	UBERON_0003011	PATO_0000051
OBA_VT0000910	UBERON_0003011	PATO_0000117
OBA_VT0000911	UBERON_0002633	PATO_0000051
OBA_VT0000912	UBERON_0002633	PATO_0000117
OBA_VT0000923	UBERON_0003054	PATO_0000051
OBA_VT0000925	UBERON_0003079	PATO_0000051
OBA_VT0000927	UBERON_0003079	PATO_0000117
OBA_VT0000933	UBERON_0001892	PATO_0000051
OBA_VT0000936	UBERON_0001869	PATO_0000117
OBA_VT0000937	CL_0000100	PATO_0000051
OBA_VT0000939	CL_0000100	PATO_0001555
OBA_VT0000953	CL_0000128	PATO_0000051
OBA_VT0000955	UBERON_0002240	PATO_0000051
OBA_VT0000959	UBERON_0003942	PATO_0000051
OBA_VT0000960	UBERON_0001800	PATO_0000051
OBA_VT0000961	UBERON_0000044	PATO_0000051
OBA_VT0000964	UBERON_0000044	PATO_0000117
OBA_VT0000965	CL_0000101	PATO_0000051
OBA_VT0000969	CL_0000198	PATO_0000051
OBA_VT0000972	UBERON_0012449	PATO_0000051
OBA_VT0000982	UBERON_0012450	PATO_0000051
OBA_VT0000983	UBERON_0012450	PATO_0000117
OBA_VT0000985	UBERON_0012456	PATO_0000051
OBA_VT0000986	UBERON_0012456	PATO_0000070
OBA_VT0000988	UBERON_0003719	PATO_0000051
OBA_VT0000989	UBERON_0012457	PATO_0000051
OBA_VT0000991	UBERON_0004010	PATO_0000051
OBA_VT0000992	UBERON_0004010	PATO_0000117
OBA_VT0000994	UBERON_0004011	PATO_0000051
